SITE_ID,INDUSTRY,SUB_INDUSTRY,SQ_FT,LAT,LNG,TIME_ZONE,TZ_OFFSET
6,Commercial Property,Shopping Center/Shopping Mall,161532,34.78300117,-106.8952497,America/Denver,-06:00
8,Commercial Property,Shopping Center/Shopping Mall,823966,40.32024733,-76.40494239,America/New_York,-04:00
9,Commercial Property,Corporate Office,169420,40.94675135,-74.74208726,America/New_York,-04:00
10,Commercial Property,Shopping Center/Shopping Mall,1029798,39.73250384,-75.00686126,America/New_York,-04:00
12,Commercial Property,Business Services,179665,39.69454093,-74.89916595,America/New_York,-04:00
13,Commercial Property,Commercial Real Estate,185847,38.78465068,-77.47833675,America/New_York,-04:00
14,Commercial Property,Business Services,1675720,47.82001743,-122.101407,America/Los_Angeles,-07:00
21,Commercial Property,Shopping Center/Shopping Mall,783982,36.80665087,-76.82877146,America/New_York,-04:00
22,Commercial Property,Bank/Financial Services,318130,38.16780583,-122.7019178,America/Los_Angeles,-07:00
25,Commercial Property,Shopping Center/Shopping Mall,1807149,41.98151724,-71.62104984,America/New_York,-04:00
29,Commercial Property,Shopping Center/Shopping Mall,377537,40.63134048,-74.91601589,America/New_York,-04:00
30,Commercial Property,Bank/Financial Services,496517,47.29794461,-122.5435293,America/Los_Angeles,-07:00
31,Commercial Property,Commercial Real Estate,294651,33.18898647,-117.2366393,America/Los_Angeles,-07:00
32,Commercial Property,Shopping Center/Shopping Mall,880941,34.37390331,-87.04651781,America/Chicago,-05:00
36,Commercial Property,Business Services,126205,40.29934951,-75.47752837,America/New_York,-04:00
41,Commercial Property,Corporate Office,191554,41.03863897,-74.86575381,America/New_York,-04:00
42,Commercial Property,Shopping Center/Shopping Mall,1237908,37.56641953,-79.56338786,America/New_York,-04:00
44,Commercial Property,Shopping Center/Shopping Mall,192167,44.74241776,-73.58554074,America/New_York,-04:00
45,Commercial Property,Shopping Center/Shopping Mall,1200131,36.36301864,-87.03013879,America/Chicago,-05:00
49,Commercial Property,Shopping Center/Shopping Mall,497092,41.2161756,-78.14809154,America/New_York,-04:00
51,Commercial Property,Shopping Center/Shopping Mall,65961,43.18250295,-112.6869112,America/Denver,-06:00
55,Commercial Property,Shopping Center/Shopping Mall,625142,39.91023717,-80.51961034,America/New_York,-04:00
56,Commercial Property,Commercial Real Estate,428277,39.20897557,-76.69972177,America/New_York,-04:00
65,Commercial Property,Commercial Real Estate,476246,39.25982033,-76.95122033,America/New_York,-04:00
78,Commercial Property,Shopping Center/Shopping Mall,1037364,35.69328223,-87.01858864,America/Chicago,-05:00
88,Education,Primary/Secondary School,94150,40.31513263,-75.47204123,America/New_York,-04:00
92,Education,Primary/Secondary School,105530,40.24392238,-74.91771912,America/New_York,-04:00
99,Education,Primary/Secondary School,79503,36.57549581,-86.22741261,America/Chicago,-05:00
100,Education,Primary/Secondary School,81681,38.63511632,-75.93401425,America/New_York,-04:00
101,Education,Primary/Secondary School,274418,35.59674915,-83.83065746,America/Chicago,-05:00
103,Education,Primary/Secondary School,217241,38.00903622,-75.37697374,America/New_York,-04:00
109,Education,Primary/Secondary School,97901,36.28638818,-87.11008289,America/Chicago,-05:00
111,Education,Primary/Secondary School,92179,39.81213322,-75.25236525,America/New_York,-04:00
116,Education,Primary/Secondary School,175537,35.66742272,-87.517393,America/Chicago,-05:00
136,Education,Primary/Secondary School,233062,38.63471614,-75.35821879,America/New_York,-04:00
137,Education,Primary/Secondary School,80224,40.86149476,-72.88557216,America/New_York,-04:00
144,Education,Primary/Secondary School,86867,38.14657096,-75.84018987,America/New_York,-04:00
153,Education,Primary/Secondary School,105215,40.26375183,-74.97108041,America/New_York,-04:00
186,Education,Primary/Secondary School,117074,39.22671205,-76.86400257,America/New_York,-04:00
197,Education,Primary/Secondary School,132737,38.14344984,-75.91579796,America/New_York,-04:00
213,Education,Primary/Secondary School,72333,35.47966886,-107.095281,America/Denver,-06:00
214,Education,Primary/Secondary School,95132,33.09246724,-96.6997555,America/Chicago,-05:00
217,Education,Primary/Secondary School,315404,40.3065895,-75.48928221,America/New_York,-04:00
218,Education,Primary/Secondary School,197266,35.58555457,-86.53450821,America/Chicago,-05:00
224,Education,Primary/Secondary School,129663,36.18381825,-87.27503507,America/Chicago,-05:00
228,Education,Primary/Secondary School,77247,35.58568398,-106.3737145,America/Denver,-06:00
236,Education,Primary/Secondary School,92032,34.90931424,-107.0155435,America/Denver,-06:00
259,Education,Primary/Secondary School,153699,40.8828578,-73.56775637,America/New_York,-04:00
270,Education,Primary/Secondary School,276443,39.70345378,-75.36276254,America/New_York,-04:00
275,Education,Primary/Secondary School,108405,40.26934257,-74.74514292,America/New_York,-04:00
281,Food Sales & Storage,Grocer/Market,48878,33.61963386,-116.6222695,America/Los_Angeles,-07:00
285,Food Sales & Storage,Grocer/Market,42534,33.95631704,-117.0477889,America/Los_Angeles,-07:00
304,Food Sales & Storage,Grocer/Market,31022,34.77380195,-117.063032,America/Los_Angeles,-07:00
339,Food Sales & Storage,Grocer/Market,27988,34.42182061,-117.7651881,America/Los_Angeles,-07:00
341,Food Sales & Storage,Grocer/Market,54589,42.02888731,-71.62585461,America/New_York,-04:00
363,Food Sales & Storage,Grocer/Market,31964,34.49497719,-117.0152966,America/Los_Angeles,-07:00
366,Food Sales & Storage,Grocer/Market,54178,41.49974856,-72.80533999,America/New_York,-04:00
384,Food Sales & Storage,Grocer/Market,27625,34.29665466,-118.2585456,America/Los_Angeles,-07:00
386,Food Sales & Storage,Grocer/Market,43690,33.56634185,-117.6659077,America/Los_Angeles,-07:00
391,Food Sales & Storage,Grocer/Market,56926,40.65600584,-73.83714808,America/New_York,-04:00
399,Food Sales & Storage,Grocer/Market,45105,40.97791628,-72.32981842,America/New_York,-04:00
400,Food Sales & Storage,Grocer/Market,24050,34.0124428,-117.7648664,America/Los_Angeles,-07:00
401,Food Sales & Storage,Grocer/Market,26721,33.81528003,-117.53437,America/Los_Angeles,-07:00
404,Food Sales & Storage,Grocer/Market,74493,40.66385677,-73.6153218,America/New_York,-04:00
